question,choices,correct_answer,unsure_option,sources,ideal,distractors
The average speed of cicada urine jets is contained within which range?,(A) 10-20m/s|(B) 6-574m/s|(C) 0.6-3.16m/s|(D) Insufficient information to answer the question|(E) 300-600m/s,C,D,https://doi.org/10.1073/pnas.2317878121,0.6-3.16m/s,6-574m/s|10-20m/s|300-600m/s
The cavity above p-hydroxybenzylidene moiety of the chromophore found in mSandy2 is filled by which one of the following rotamers adopted by Leucine found at position 63?,(A) pt|(B) tp|(C) mp|(D) Insufficient information to answer the question|(E) tt,C,D,https://doi.org/10.1039/D1SC05088E,mp,pt|tt|tp
"The gene EEF2 has introns 1 and 2, do they splice in a specific order?",(A) no|(B) yes|(C) Insufficient information to answer the question,A,C,https://doi.org/10.7554/eLife.91357.3,no,yes
The human proteasome core subunit α6 can functionally replace a knockout of it's yeast ortholog when co-expressed with which other human proteasome subunit?,(A) Insufficient information to answer the question|(B) Hs α7|(C) Hs α9|(D) Hs α1|(E) Sc α2,B,A,https://doi.org/10.1016/j.crmeth.2023.100464,Hs α7,Hs α9|Hs α1|Sc α2
The reemergence of prenatal cellular programs is mediated by Mac2 macrophages via which chemokine CXCL8 interacting with which venular capillary marker on VE3 vascular endothelial cells in diseased skin?,(A) IL6|(B) Insufficient information to answer the question|(C) IL33|(D) SELE|(E) ICAM1|(F) ACKR1,F,B,https://doi.org/10.1126/science.aba6500,ACKR1,IL6|IL33|SELE|ICAM1
There are putative ETS transcription factor binding sites in the FoxF enhancer. What range of affinity do they have when compared to the 8-mer with the highest affinity for ETS?,(A) 0.1-0.4|(B) 0.34-0.52|(C) 0.1-0.3|(D) 0.09-0.24|(E) Insufficient information to answer the question,D,E,https://doi.org/10.1016/j.devcel.2023.09.005,0.09-0.24,0.1-0.3|0.1-0.4|0.34-0.52
To which segment of the UNC5B-AS1 upstream super enhancer region does FOXP3 bind?,(A) Insufficient information to answer the question|(B) Domain between E1 and E2|(C) E2|(D) E1|(E) E3,C,A,https://doi.org/10.1101/2024.05.07.593065,E2,E1|Domain between E1 and E2|E3
Upregulation of which of the following was most associated with the Relapse signature in prostate cancer?,(A) CCL20|(B) CXCL3|(C) CXCL6|(D) CXCL1|(E) CXCL17|(F) Insufficient information to answer the question,E,F,https://doi.org/10.1101/2024.05.13.593822,CXCL17,CXCL1|CXCL3|CXCL6|CCL20
What cellular feature displays the greatest difference in morphology between apoptotic and control cells as measured by Cell Painting assays?,(A) Insufficient information to answer the question|(B) Golgi|(C) mitochondria|(D) ER|(E) cell membrane,C,A,https://doi.org/10.1101/2024.04.26.591386,mitochondria,Golgi|ER|cell membrane
What effect does a F200Y mutation in fungal β-tubulin have on binding of the anti-fungal drug thiabendazole?,(A) No effect|(B) Insufficient information to answer the question|(C) Enhances binding|(D) Disrupts binding,D,B,https://doi.org/10.1093/genetics/iyab101,Disrupts binding,No effect|Enhances binding
What effect does bone marrow stromal cell-conditioned media have on the expression of the CD8a receptor in cultured OT-1 T cells?,(A) No effect|(B) Insufficient information to answer the question|(C) Decrease|(D) Increase,A,B,https://doi.org/10.1101/2024.01.31.578101,No effect,Increase|Decrease
What effect does expression of the ATPase-deficient E251Q mutant of the Spindle E protein in silkworm cells have on the levels of the mature piwiRNAs piR1712 and piR2986?,(A) Increase|(B) Insufficient information to answer the question|(C) Decrease|(D) no effect,C,B,https://doi.org/10.1101/2023.12.19.572360,Decrease,Increase|no effect
What effect does infection of A. thaliana plants with avrE single knockout Pst DC3000 have on NCED3 expression?,(A) Reduced expression|(B) No effect|(C) Increased expression|(D) Insufficient information to answer the question,C,D,https://doi.org/10.1016/j.chom.2022.02.006,Increased expression,Reduced expression|No effect
What effect does infection of A. thaliana plants with avrE/hopM1 double knockout Pst DC3000 have on NCED3 expression?,(A) no effect|(B) reduced expression|(C) Increased expression|(D) Insufficient information to answer the question,A,D,https://doi.org/10.1016/j.chom.2022.02.006,no effect,Increased expression|reduced expression
What effect does infection of A. thaliana plants with hopM1 knockout Pst DC3000 have on NCED3 expression?,(A) Insufficient information to answer the question|(B) Reduced expression|(C) No effect|(D) Increased expression,D,A,https://doi.org/10.1016/j.chom.2022.02.006,Increased expression,Reduced expression|No effect
What effect does optogenetic inhibition of DAVTA fibers in the basolateral amygdala have on REM sleep amount?,(A) increase|(B) Insufficient information to answer the question|(C) no effect|(D) decrease,D,B,https://doi.org/10.1126/science.abl6618,decrease,increase|no effect
What effect does prenatal maternal stress and diesel exhaust particle exposure have on the functional heterogeneity of microglia in male mice?,(A) Insufficient information to answer the question|(B) increased heterogeneity|(C) reduced heterogeneity|(D) no effect,B,A,https://doi.org/10.1016/j.celrep.2022.111161,increased heterogeneity,reduced heterogeneity|no effect
What fraction of bipolar interneuron axons target other interneurons in the human temporal and frontal cortex?,(A) 88%|(B) 72%|(C) 56%|(D) 28%|(E) Insufficient information to answer the question,B,E,https://doi.org/10.1126/science.abo0924,72%,56%|28%|88%
What fraction of dopaminergic neurons in the mushroom body receive input from all sensory modalities?,(A) 100%|(B) 51%|(C) 5%|(D) 33%|(E) Insufficient information to answer the question|(F) 23%|(G) 72%,A,E,https://doi.org/10.1126/science.add9330,100%,5%|23%|33%|51%|72%
What fraction of octopaminergic neurons in the mushroom body receive input from all sensory modalities?,(A) 5%|(B) 51%|(C) 100%|(D) 23%|(E) Insufficient information to answer the question|(F) 72%|(G) 33%,G,E,https://doi.org/10.1126/science.add9330,33%,5%|23%|51%|72%|100%
What fraction of transcription factor isoforms can significantly alter pseudotime upon overexpression in hESC differentiation?,(A) 65%|(B) Insufficient information to answer the question|(C) 20%|(D) 27%|(E) 43%,C,B,https://doi.org/10.1016/j.cell.2022.11.026,20%,27%|43%|65%
What geographical-based Iranian cannabis populations have the greatest genetic differentiation parameter (FST)?,(A) Northeast to west: northwest|(B) East and southeast: northeast|(C) East and southeast|(D) South to northeast|(E) Insufficient information to answer the question,B,E,https://doi.org/10.1101/2024.05.07.593022,East and southeast: northeast,East and southeast|Northeast to west: northwest|South to northeast
What is the absolute percent difference in body fat mass loss between obese mice treated with GLP-1-MK-801 and GLP-1 for two week periods?,(A) Insufficient information to answer the question|(B) 4%|(C) 8%|(D) 45%|(E) 22%|(F) 23%,F,A,https://doi.org/10.1038/s41586-024-07419-8,23%,45%|22%|8%|4%
What is the affinity constant of Medicago truncatula MtNCC1 binding to Cu+?,(A) 15 pM-1|(B) 2.45 pM-1|(C) Insufficient information to answer the question|(D) 237 pM-1|(E) 1.19 pM-1,B,C,https://doi.org/10.1111/nph.19360,2.45 pM-1,15 pM-1|237 pM-1|1.19 pM-1
What is the approximate length of the stalk portion of the S. coelicolor Umbrella complex structure?,(A) 350 Å|(B) 300 Å|(C) 200 Å|(D) Insufficient information to answer the question|(E) 30 Å|(F) 250 Å,B,D,https://doi.org/10.1038/s41586-024-07298-z,300 Å,250 Å|30 Å|350 Å|200 Å
What is the contact probability of active promoters with the nearest topologically associated domain (TAD) in mouse embryonic stem cells (mESCs)?,(A) between 0.3 and 0.4|(B) Insufficient information to answer the question|(C) between 0 and 0.3|(D) between 0.45 and 0.6|(E) greater than 0.7,C,B,https://doi.org/10.1038/s41586-022-04570-y,between 0 and 0.3,between 0.3 and 0.4|between 0.45 and 0.6|greater than 0.7
What is the cytoplasm biovolume of 4.27-mm Ca. T. magnifica cell ?,(A) 2.91 x 10^-12 m3|(B) 5.91 x 10-12 m3|(C) 1.39 x 10^-12 m3|(D) 3.56 x 10^-12 m3|(E) Insufficient information to answer the question,B,E,https://doi.org/10.1126/science.abb3634,5.91 x 10-12 m3,2.91 x 10^-12 m3|3.56 x 10^-12 m3|1.39 x 10^-12 m3
What is the effect of Pkdh1 expression after knockout of the Ift122 gene in Tetrahymena?,(A) No change|(B) Large decrease|(C) Large increase|(D) Insufficient information to answer the question|(E) Modest increase|(F) Modest decrease,B,D,https://doi.org/10.1091/mbc.E23-03-0084,Large decrease,No change|Large increase|Modest increase|Modest decrease
What is the effect of elevated Rpn14 levels on turnover of phophorylated αsyn in yeast?,(A) Promotion|(B) No effect|(C) Inhibition|(D) Insufficient information to answer the question,C,D,https://doi.org/10.1111/acel.14128,Inhibition,No effect|Promotion
What is the effect on KRAB domain function when it is concatenated with a domain that is poorly expressed?,(A) increases function|(B) no change in function|(C) eliminates function|(D) Insufficient information to answer the question,C,D,https://doi.org/10.1101/2022.12.20.521091,eliminates function,increases function|no change in function
What is the effect on firing rate of parvalbumin-expressing interneurons in the barrel cortex of adult mice when the SMAD1 is deleted?,(A) No discernable change|(B) Moderately decreased|(C) Greatly increased|(D) Moderately increased|(E) Insufficient information to answer the question|(F) Greatly reduced,F,E,https://doi.org/10.1038/s41586-024-07317-z,Greatly reduced,Greatly increased|Moderately increased|Moderately decreased|No discernable change
What is the function of the PITPNM1 gene in healthy mammalian neural stem cells?,(A) null|(B) maintenance of a TGN/endosomal PtdIns4P pool|(C) Insufficient information to answer the question|(D) recruiting GOLPH3 to the cell membrane|(E) neuroblast regulation,A,C,https://doi.org/10.1016/j.jbior.2020.100740,null,maintenance of a TGN/endosomal PtdIns4P pool|neuroblast regulation|recruiting GOLPH3 to the cell membrane
What is the measured dissociation constant for the Wnt5b-Ror2 complex in cytonemes of zebrafish?,(A) Between 113-276 nM|(B) Insufficient information to answer the question|(C) Between 311-476 uM|(D) Between 476-511 nM|(E) Between 301-475 nM|(F) Between 311-476 nM,F,B,https://doi.org/10.1038/s41586-023-06850-7,Between 311-476 nM,Between 311-476 uM|Between 476-511 nM|Between 301-475 nM|Between 113-276 nM
What is the mechanism for expression of the EPRS1(N1) form of EPRS1 in humans?,(A) alternative splicing|(B) post-transcriptional control|(C) Insufficient information to answer the question|(D) polyadenylation,D,C,https://doi.org/10.1038/s12276-023-01094-x,polyadenylation,alternative splicing|post-transcriptional control
What is the net rate of 3D imaging for time-lapse continuous data generated by 2pSAM (Two-photon Synthetic Aperture Microscopy)?,(A) 5.4 volume/s|(B) Insufficient information to answer the question|(C) 30 volume/s|(D) 2.3 volume/s|(E) 16 volume/s,C,B,https://doi.org/10.1016/j.cell.2023.04.016,30 volume/s,5.4 volume/s|2.3 volume/s|16 volume/s
What is the optimal GDP-binding temperature for the EF-1A protein from Asgard class Wukongarchaeia in degrees celsius?,(A) 63.2|(B) Insufficient information to answer the question|(C) 40.0|(D) 49.5|(E) 30.3|(F) 57.2,A,B,https://doi.org/10.1038/s41467-024-44806-1,63.2,40.0|57.2|30.3|49.5
"What is the relative length of the phylloxera X-chromosome when compared to the other, autosomal, chromosomes?",(A) Second longest|(B) Longest|(C) Insufficient information to answer the question|(D) Shortest|(E) Third longest|(F) Second shortest,A,C,https://doi.org/10.1093/molbev/msad271,Second longest,Third longest|Longest|Second shortest|Shortest
What is the role of the N-terminal α1-helical extension in the PF03500 protein family?,(A) α1-driven dimerization.|(B) Fishhook-like dimerization.|(C) Formation of D2-symmetric|(D) tetrahedron-like tetramers.|(E) Insufficient information to answer the question|(F) Formation of a beads-on-a-string filamentous architecture.,A,E,https://doi.org/10.1016/j.cub.2023.11.057,α1-driven dimerization.,Fishhook-like dimerization.|Formation of D2-symmetric|tetrahedron-like tetramers.|Formation of a beads-on-a-string filamentous architecture.
What is the size of the pocket formed by CDRs between the light and heavy chains of the recombinant antibody P1A4 recognizes K-Ras(G12C)-derived peptides modifiednby the investigational inhibitor ARS1620 ?,(A) 12 Å|(B) Insufficient information to answer the question|(C) 6 Å|(D) 21 Å|(E) 2 Å,A,B,https://doi.org/10.1016/j.ccell.2022.07.005,12 Å,2 Å|6 Å|21 Å
What is the source of the non-specific effect observed for jAspSnFR3.mRuby3?,(A) Insufficient information to answer the question|(B) High pH sensitivity leading to decreased specificity.|(C) Interaction of amino acids with the N-terminal histidine tag|(D) Interaction of amino acids with the C-terminal histidine tag|(E) Interaction of amino acids with the the T203Y pi-stacking mutation in the GYG triad.,D,A,https://doi.org/10.7554/eLife.90024,Interaction of amino acids with the C-terminal histidine tag,Interaction of amino acids with the N-terminal histidine tag|Interaction of amino acids with the the T203Y pi-stacking mutation in the GYG triad.|High pH sensitivity leading to decreased specificity.
What is the structural change in the protein conformational ensemble from the A456V mutation in Human Glucokinase that accelerates glucose binding?,(A) Destablize hydrophobic core|(B) Increase conversion to closed state|(C) Shift equilibrium to super-open state|(D) Insufficient information to answer the question|(E) Shift equilibrium to disordered states|(F) Stabilize active form,C,D,https://doi.org/10.1186/s13059-023-02935-8,Shift equilibrium to super-open state,Destablize hydrophobic core|Stabilize active form|Increase conversion to closed state|Shift equilibrium to disordered states
What is the substrate preference of the Ddd1 deaminase?,(A) 5'-AC|(B) Insufficient information to answer the question|(C) 5'-GC|(D) 5'-TC|(E) 5'-CC,C,B,https://doi.org/10.1101/2023.05.21.541555|http://dx.doi.org/10.1016/j.cell.2023.05.041,5'-GC,5'-AC|5'-CC|5'-TC
What kind of localization signal is found in proteins from the PLSCR5 gene?,(A) null|(B) nuclear|(C) extracellular|(D) Insufficient information to answer the question|(E) endoplasmic reticulum,A,D,https://doi.org/10.1016/j.febslet.2014.11.036,null,nuclear|endoplasmic reticulum|extracellular
What marker combination that includes CD38 can be used to identify murine liver CD8+ tissue-resident memory T cells independent of CD69 during inflammatory conditions?,(A) CD38+Gr1+|(B) CD38+CD94+|(C) CD38+NKG2D+|(D) CD38+CXCR6+|(E) Insufficient information to answer the question,D,E,https://doi.org/10.1016/j.immuni.2023.06.005,CD38+CXCR6+,CD38+Gr1+|CD38+CD94+|CD38+NKG2D+
What method was used to demonstrate that the enzyme PafA is stable after incubation with 4M urea for 14 days?,(A) cryo EM|(B) circular dichroism|(C) x-ray crystallography|(D) NMR|(E) Insufficient information to answer the question,B,E,https://doi.org/10.1126/science.abf8761,circular dichroism,cryo EM|x-ray crystallography|NMR
What nucleotide concentration is sufficient to inhibit endonuclease V from Thermotoga maritima?,(A) 3mM|(B) 2mM|(C) 5mM|(D) 30mM|(E) 10mM|(F) 4mM|(G) Insufficient information to answer the question|(H) 20mM|(I) 1mM,B,G,https://doi.org/10.1126/science.add5892,2mM,1mM|3mM|4mM|5mM|10mM|20mM|30mM
What percent of genes that undergo RNA editing in mouse retina cells also display alternative splicing?,(A) Insufficient information to answer the question|(B) 73%|(C) 0.9%|(D) 51.5%|(E) 46%,B,A,https://doi.org/10.1186/s12915-024-01908-y,73%,0.9%|46%|51.5%
"What percent of human TFs and chromatin regulators are bifunctional, meaning they can both activate and repress transcription?",(A) Insufficient information to answer the question|(B) 81|(C) 12|(D) 2|(E) 77,C,A,https://doi.org/10.1038/s41586-023-05906-y,12,77|81|2
What percent of reads map to the top 10 loci in an integration site assay for the large serine recombinase Cp36 in the cell type K562?,(A) 26.6%|(B) 50%|(C) 11.40%|(D) Insufficient information to answer the question|(E) 8.27%,C,D,https://doi.org/10.1038/s41587-022-01494-w,11.40%,8.27%|50%|26.6%
What percentage of colorectal cancer-associated fibroblasts typically survive at 2 weeks if cultured with the platinum-based chemotherapy oxaliplatin?,(A) 50-80%|(B) Insufficient information to answer the question|(C) 0%|(D) 80-99%|(E) 1-20%|(F) 20-50%,A,B,https://doi.org/10.1038/s41467-023-36334-1,50-80%,0%|1-20%|20-50%|80-99%
"What percentage of non-genic genomic region windows displayed some transcription at a relaxed threshold in the E. Coli Long Term Evolution Experiment lines at 50, 000 generations?",(A) 64%|(B) 46%|(C) 95%|(D) 36%|(E) 5%|(F) Insufficient information to answer the question,A,F,https://doi.org/10.1101/2023.11.15.567300,64%,95%|46%|5%|36%
"When HeLa cells that express galectin-3-GFP are infected with a T6SS-5-negative strain of B. thailandensis (B. thailandensis hcp-5 deletion), how many galectin-3 accumulation events can be expected for every 1000 bacteria on average?",(A) 7|(B) Insufficient information to answer the question|(C) 48|(D) 213,C,B,https://doi.org/10.1016/j.chom.2024.03.013,48,213|7
"When a large excess of membrane protein substrate (Vamp2) is added to the wild-type Get3/4/5 chaperone complex, the complex dissociates into two components. Which component does the substrate bind to?",(A) Insufficient information to answer the question|(B) Get4|(C) Get3|(D) Get4/5 complex|(E) Get5|(F) Get3/4 complex,C,A,https://doi.org/10.1016/j.bpj.2021.11.1119|https://doi.org/10.1016/j.bpj.2022.02.026,Get3,Get3/4 complex|Get4|Get5|Get4/5 complex
"When a large excess of membrane protein substrate (Vamp2) is added to the wild-type Get3/4/5 chaperone complex, the complex dissociates. Which component does the substrate not bind to?",(A) Get5|(B) Get4/5 complex|(C) Insufficient information to answer the question|(D) Get3/4 complex|(E) Get3|(F) Get4,B,C,https://doi.org/10.1016/j.bpj.2021.11.1119|https://doi.org/10.1016/j.bpj.2022.02.026,Get4/5 complex,Get3|Get3/4 complex|Get4|Get5
"When the macrocycle MC1 binds to its target PSMD2, what key residue interaction is formed?",(A) R8 residue of MC1 and E878 residue of PSMD2|(B) Insufficient information to answer the question|(C) L33 of MC1 and V743 of PSMD2|(D) S11 of MC1 and S800 of PSMD2|(E) Y15 of MC1 and Y876 of PSMD2|(F) D18 residue of MC1 and E878 residue of PSMD2|(G) R12 of MC1 and D874 of PSMD2,A,B,https://doi.org/10.1038/s41589-022-01218-w,R8 residue of MC1 and E878 residue of PSMD2,D18 residue of MC1 and E878 residue of PSMD2|R12 of MC1 and D874 of PSMD2|Y15 of MC1 and Y876 of PSMD2|L33 of MC1 and V743 of PSMD2|S11 of MC1 and S800 of PSMD2
"When using protein language models to predict the effect of mutations in fitness of adeno-associated virus 2, does fine-tuning give a larger gain for the ESM2, T5, or Ankh models?",(A) There is no gain for any model|(B) Ankh|(C) T5|(D) ESM2|(E) The gain is similar for all models|(F) Insufficient information to answer the question,E,F,https://doi.org/10.1101/2023.12.13.571462,The gain is similar for all models,ESM2|T5|Ankh|There is no gain for any model
Where does Rv2780 localize in macrophages derived from mice that are infected with Mycobacterium tuberculosis?,(A) Endoplasmic Reticulum|(B) Plasma Membrane|(C) Cytoplasm|(D) Mitochondria|(E) Insufficient information to answer the question|(F) Nucleus,C,E,https://doi.org/10.1038/s41467-024-48588-4,Cytoplasm,Nucleus|Plasma Membrane|Endoplasmic Reticulum|Mitochondria
Where does the protein encoded by GARIN3 localize in human cells?,(A) lipid-enriched microdomains in the golgi apparatus|(B) midpiece of the flagella in mature sperm|(C) Insufficient information to answer the question|(D) null,D,C,https://doi.org/10.1242/jcs.115.4.827,null,lipid-enriched microdomains in the golgi apparatus|midpiece of the flagella in mature sperm
Which Batrachochytrium dendrobatidis strain listed below has the largest copy number of the CRESS DNA mycoviral genome relative to the genome average?,(A) All strains have the same copy number|(B) Bd-ASIA1|(C) Bd-BRAZIL|(D) Bd-CAPE|(E) Insufficient information to answer the question,B,E,https://doi.org/10.1016/j.cub.2024.02.062,Bd-ASIA1,Bd-BRAZIL|Bd-CAPE|All strains have the same copy number
Which CDH23 isoforms are capable of localizing to the stereocillia?,(A) Insufficient information to answer the question|(B) Only the V3 isoform.|(C) V2|(D) and V3 isoforms.|(E) Only the V1 isoform.|(F) CDH23(+68)|(G) CDH23(−68)|(H) Both the V1 and V3 isoforms.|(I) Only the V2 isoform.|(J) The V1 and V2 isoforms.|(K) The V1,H,A,https://doi.org/10.1073/pnas.2309656121,Both the V1 and V3 isoforms.,Only the V1 isoform.|Only the V3 isoform.|Only the V2 isoform.|CDH23(+68)|CDH23(−68)|The V1|V2|and V3 isoforms.|The V1 and V2 isoforms.
Which amino acids of yeast Rev7 are not important for its interaction with the MRX complex?,(A) 1-149|(B) 203-245|(C) 1-203|(D) 150-203|(E) Insufficient information to answer the question,A,E,https://doi.org/10.1101/2024.02.20.581217,1-149,150-203|203-245|1-203
Which antibody isotype is NOT produced in HLA-expressing mice by the AMP-CpG formulated EBV vaccine for gp350-specific antibodies?,(A) IgA|(B) IgG2a|(C) Insufficient information to answer the question|(D) IgM|(E) IgG2b|(F) IgG3|(G) IgE|(H) IgG1,G,C,https://doi.org/10.1038/s41467-023-39770-1,IgE,IgA|IgM|IgG1|IgG2a|IgG2b|IgG3
Which bacterial cell wall component has been shown to facilitate lung metastasis in breast cancer models via the prostaglandin E2-EP2 pathway?,(A) peptidoglycan|(B) lipopolysaccharide|(C) Insufficient information to answer the question|(D) lipoprotein|(E) teichoic acid,B,C,https://doi.org/10.3390/cancers14194849,lipopolysaccharide,peptidoglycan|teichoic acid|lipoprotein
Which bioconjugation system is used to attach the INT tag to AAVs in the Vault AAV delivery system?,(A) Dogtag|(B) Spytag|(C) Spytag002|(D) Insufficient information to answer the question|(E) SNAP-tag|(F) HALO tag|(G) Spytag003,G,D,https://doi.org/10.1101/2023.11.29.569229,Spytag003,Spytag002|Spytag|Dogtag|SNAP-tag|HALO tag
Which category of gene is most common in the genomes of Borgs?,(A) Nitrogen fixation proteins|(B) Oxidoreductases|(C) Membrane proteins|(D) Glycosyltransferases|(E) Insufficient information to answer the question,D,E,https://doi.org/10.1038/s41586-022-05256-1,Glycosyltransferases,Nitrogen fixation proteins|Oxidoreductases|Membrane proteins
Which cell type(s) shows most signgicant maturation with transplantation and increasing organoid age?,(A) interneurons|(B) Insufficient information to answer the question|(C) microglia|(D) upper-layer excitatory neurons|(E) upper-layer excitatory neurons and lower-layer excitatory neurons|(F) lower-layer excitatory neurons|(G) astrocytes,D,B,https://doi.org/10.1038/s41587-024-02157-8,upper-layer excitatory neurons,microglia|astrocytes|lower-layer excitatory neurons|interneurons|upper-layer excitatory neurons and lower-layer excitatory neurons
Which metal ion coordinates binding of cyclic tetra-adenylate to Csx23 in Vibrio cholerae?,(A) Potassium|(B) Magnesium|(C) Sodium|(D) Insufficient information to answer the question|(E) Calcium,C,D,https://doi.org/10.1093/nar/gkae167,Sodium,Magnesium|Calcium|Potassium
Which microcin homolog is present in all known E. coli phylogroups?,(A) Microcin H47|(B) Microcin E492|(C) Microcin M|(D) Microcin S|(E) Insufficient information to answer the question|(F) Microcin L|(G) Microcin V|(H) Microcin PDI|(I) Microcin I47,G,E,https://doi.org/10.1128/aem.01486-22,Microcin V,Microcin H47|Microcin E492|Microcin M|Microcin I47|Microcin S|Microcin PDI|Microcin L
Which mouse model(s) of immunisation was used to demonstrate CD90 could identify germinal center-resident follicular helper CD4+ T cells?,(A) Mycobacterium tuberculosis footpad immunization|(B) NP-OVA (4-hydroxy3-nitrophenylacetyl (NP)-ovalbumin (OVA) footpad immunization|(C) Lymphocytic choriomeningitis virus footpad immunization|(D) Insufficient information to answer the question|(E) Leishmania major footpad immunization,B,D,https://doi.org/10.1016/j.immuni.2021.12.015,NP-OVA (4-hydroxy3-nitrophenylacetyl (NP)-ovalbumin (OVA) footpad immunization,Mycobacterium tuberculosis footpad immunization|Lymphocytic choriomeningitis virus footpad immunization|Leishmania major footpad immunization
Which mutations on the SARS-CoV-2 spike protein contribute to resistance of the BA.2 variant to the S2X35 antibody?,"(A) S405N, D371F, E484A|(B) D371F, S371F, R408S|(C) Insufficient information to answer the question|(D) S371F, D405N, E484A|(E) S371F, D405N, R408S",E,C,https://doi.org/10.1016/j.chom.2022.07.016,"S371F, D405N, R408S","S371F, D405N, E484A|S405N, D371F, E484A|D371F, S371F, R408S"
Which of the following DNA structures compacts most quickly upon interaction with Dps in single molecule assays?,(A) Supercoiled and doubly tethered (Y-shape)|(B) Relaxed and singly tethered (I-shaped)|(C) Relaxed and doubly tethered (J-shape)|(D) Single stranded|(E) Insufficient information to answer the question,A,E,https://doi.org/10.1093/nar/gkae223,Supercoiled and doubly tethered (Y-shape),Single stranded|Relaxed and doubly tethered (J-shape)|Relaxed and singly tethered (I-shaped)
"Which of the following compounds is most effective at enhancing ER proteostasis and promote functional, soluble forms of GCase in neurons - DANT, DHBP or DILT?",(A) DANT|(B) DHBP|(C) Insufficient information to answer the question|(D) DILT,D,C,https://doi.org/10.1016/j.neuron.2021.10.032,DILT,DANT|DHBP
Which of the following designed DNA editors has the highest homology directed repair (HDR) efficiency?,(A) CTE (Cas9-TGS-hExo1)|(B) CXE (Cas9-XTEN-hExo1)|(C) EXC (hExo1-XTEN-Cas9)|(D) Insufficient information to answer the question|(E) ETC (hExo1-TGS-Cas9),B,D,https://doi.org/10.1186/s12915-024-01918-w,CXE (Cas9-XTEN-hExo1),EXC (hExo1-XTEN-Cas9)|CTE (Cas9-TGS-hExo1)|ETC (hExo1-TGS-Cas9)
Which of the following domains is critical in mediating NLRP3 inflammasome oligomerization?,(A) LRV (leucine-rich repeat variant)|(B) LRR(Leucine-rich repeat)|(C) fish-specific NACHT-associated (FISNA)|(D) Insufficient information to answer the question|(E) NIMA-related kinase 7 (NEK7),C,D,https://doi.org/10.1038/s41586-022-05570-8,fish-specific NACHT-associated (FISNA),NIMA-related kinase 7 (NEK7)|LRR(Leucine-rich repeat)|LRV (leucine-rich repeat variant)
Which of the following drugs can NOT be used to inhibit binding of the viral protease dNS3S139A to the antiviral peptide CP5-46A-4D5E?,(A) Danoprevir|(B) Glecaprevir|(C) Insufficient information to answer the question|(D) Telaprevir|(E) Grazoprevir,D,C,https://doi.org/10.1021/acschembio.3c00138,Telaprevir,Grazoprevir|Glecaprevir|Danoprevir
Which of the following epigenetic changes can be expected when male valvular interstitial cells (VIC) are cultured on larger polystyrene nanoparticles gels but not on smaller polystyrene nanoparticles gels?,(A) Decreased methylation relative to female VICs|(B) Increased acetylation relative to female VICs|(C) Insufficient information to answer the question|(D) Increased methylation relative to female VICs|(E) Decreased methylation relative to female VICs,B,C,https://doi.org/10.1101/2024.05.13.593760,Increased acetylation relative to female VICs,Increased methylation relative to female VICs|Decreased methylation relative to female VICs|Decreased methylation relative to female VICs
Which of the following gene(s) can lead to pyroptosis when mediated by ZDHHC5?,(A) GSDMD|(B) GSDME|(C) GSDMB & GSDME|(D) GSDMB|(E) Insufficient information to answer the question,A,E,https://doi.org/10.7150/ijbs.86869,GSDMD,GSDME|GSDMB|GSDMB & GSDME
Which of the following genes does TNN interact with?,(A) ERK2|(B) Insufficient information to answer the question|(C) ERK1 & ERK2|(D) null|(E) ERK1,D,B,https://doi.org/10.1002/(sici)1097-0177(200006)218:2<235::aid-dvdy2>3.0.co;2-g,null,ERK1|ERK2|ERK1 & ERK2
Which of the following genes has been shown to be a specific marker for parvalbumin interneurons in the molecular and fusiform layers of the dorsal cochlear nucleus?,(A) Pvalb|(B) Calbindin D28K|(C) Atp2b1|(D) Insufficient information to answer the question|(E) Ogfrl1,E,D,https://doi.org/10.1126/science.aaw1219,Ogfrl1,Atp2b1|Calbindin D28K|Pvalb
Which of the following genes has been shown to be localized to granule cells in the cerebellum that are anterior to the primary fissure?,(A) Mybpc1|(B) Plcb4|(C) Aldoc|(D) Rasgrf1|(E) Insufficient information to answer the question,D,E,https://doi.org/10.1126/science.aaw1219,Rasgrf1,Aldoc|Plcb4|Mybpc1
Which of the following genes is transcriptionally stabilized upon DDX3X depletion?,(A) JUND|(B) PFN1|(C) ActD|(D) EIF2A|(E) LGALS1|(F) Insufficient information to answer the question,A,F,https://doi.org/10.1038/s44320-024-00013-0,JUND,EIF2A|ActD|LGALS1|PFN1
Which of the following genes shows the greatest difference in gene expression between homologous cell types in mouse and human brain?,(A) Htr6|(B) Htr3a|(C) Htr5a|(D) Htr1d|(E) Insufficient information to answer the question,B,E,https://doi.org/10.1038/s41586-019-1506-7,Htr3a,Htr1d|Htr5a|Htr6
Which of the following has enriched nuclear expression in TRAF3 loss of function diffuse large B cell lymphoma cells?,(A) RelA|(B) c-Rel|(C) p50|(D) Insufficient information to answer the question|(E) NF-KB,C,D,https://doi.org/10.1073/pnas.2320421121,p50,RelA|c-Rel|NF-KB
Which of the following is not activated in macrophages upon Il-4 stimulation?,(A) EGR2|(B) cMYC|(C) STAT6|(D) Insufficient information to answer the question|(E) None of the above,E,D,https://doi.org/10.1093/nar/gkae088,None of the above,STAT6|cMYC|EGR2
